40136::Eta Lep
40494::Gamma Col
40446::60 Ori
40808::Eta Col
40035::Delta Aur
40183:Menkalinan:Beta Aur
41116::1 Gem
41380::66 Ori
41753::Nu Ori
43107::Nu Dor
43834::Alpha Men
42933::Delta Pic
41927::36 Cam
43039::Kappa Aur
43386::74 Ori
43785::Kappa Col
43378::2 Lyn
44112::7 Mon
44402:Furud:Zeta CMa
44743:Mirzam:Beta CMa
44478::Mu Gem
44769::8 Mon
45348:Canopus:Alpha Car
44537::Psi1 Aur
45546::10 Mon
45542::Nu Gem
46300::13 Mon
46933::Xi2 CMa
46480::8 Lyn
47105:Alhena:Gamma Gem
47670::Nu Pup
47070::51 Aur
50506::Zeta Men
48329:Mebsuta:Epsilon Gem
48915:Sirius:Alpha CMa
48737::Xi Gem
48977::16 Mon
48682::Psi5 Aur
48781::Psi6 Aur
49293::18 Mon
50241::Alpha Pic
50013::Kappa CMa
50310::Tau Pup
51557::Iota Vol
50019::Theta Gem
49340::43 Cam
50778::Theta CMa
52089:Adhara:Epsilon CMa
52877::Sigma CMa
52497::Omg
53138::Omicron2 CMa
53244::Gamma CMa
52973::Zeta Gem
54605::Delta CMa
55865::Gamma2 Vol
54810::20 Mon
54716::63 Aur
55185::Delta Mon
55383:Bq Gem:51 Gem
57623::Delta Vol
56855::Pi Pup
56221::64 Aur
56537::Lambda Gem
56986:Wasat:Delta Gem
57103::19 Lyn
58350:Aludra:Eta CMa
57669::66 Aur
58207::Iota Gem
58715:Gomeisa:Beta CMi
58946::Rho Gem
59717::Sigma Pup
59294::6 CMi
60178:Castor B:Alpha Gem
60179:Castor:Alpha Gem
60522::Upsilon Gem
61064::25 Mon
61421:Procyon:Alpha CMi
61935::Alpha Mon
63295::Zeta Vol
61497::24 Lyn
62345::Kappa Gem
62509:Pollux:Beta Gem
62952::4 Pup
62721::81 Gem
62832::11 CMi
62898::Pi Gem
63700::Xi Pup
63975::Zeta CMi
64145::Psi Gem
64144::26 Lyn
65575::Chi Car
64960::1 Cnc
65695::27 Mon
65714::Omg
65339::53 Cam
66216::Chi Gem
66811::Zeta Pup
67523::Rho Pup
67006::27 Lyn
68273::Gamma Vel
68752::20 Pup
69267::Beta Cnc
69897::Chi Cnc
71701::Theta Cha
71129:Avior:Epsilon Car
70272::31 Lyn
70569::20 Cnc
71878::Beta Vol
71555::29 Cnc
71369:Muscida:Omicron UMa
72292::Eta Cnc
73262::Delta Hya
73471::Sigma Hya
73840::6 Hya
74195::Omicron Vel
73593::34 Lyn
75416::Eta Cha
74198:Asellus Borealis:Gamma Cnc
74575::Alpha Pyx
74442:Asellus Australis:Delta Cnc
74739::Iota Cnc
75333::14 Hya
75691::Gamma Pyx
76294::Zeta Hya
79837::Zeta Oct
76756:Acubens:Alpha Cnc
76644:Talitha:Iota UMa
76813::Sigma3 Cnc
78045::Alpha Vol
76827::Rho UMa
77327::Kappa UMa
78316::Kappa Cnc
78647::Lambda Vel
78515::Xi Cnc
78922::Epsilon Pyx
80007:Miaplacidus:Beta Car
79158::36 Lyn
79469::Theta Hya
80404:Aspidiske:Iota Car
80493::Alpha Lyn
80874::Theta Pyx
81188::Kappa Vel
81146::Kappa Leo
81420::28 Hya
81797:Alphard:Alpha Hya
82150::Epsilon Ant
81937::23 UMa
82395::Xi Leo
82328::Theta UMa
82635::10 LMi
82210::24 UMa
83618::Iota Hya
83754::Kappa Hya
83808::Omicron Leo
84107::15 Leo
84194::Psi Leo
84367::Theta Ant
84441::Epsilon Leo
84999::Upsilon UMa
85364::6 Sex
85503:Rasalas:Mu Leo
86440::Phi Vel
86146::19 LMi
86629::Eta Ant
86611::12 Sex
86663::Pi Leo
86728::20 LMi
87504::Upsilon2 Hya
87737::Eta Leo
87901:Regulus:Alpha Leo
88284::Lambda Hya
89080::Omg
89025:Adhafera:Zeta Leo
89388:Q car:
89021:Tania Borealis:Lambda UMa
89254::Epsilon Sex
88983::32 UMa
89688:Rs sex:23 Sex
89758:Tania Australis:Mu UMa
89904::27 LMi
90044::25 Sex
90432::Mu Hya
90610::Alpha Ant
90537::Beta LMi
90882::Delta Sex
90839::36 UMa
91232::46 Leo
91316::Rho Leo
91550::44 Hya
91480::37 UMa
92305::Gamma Cha
92125::37 LMi
92588::33 Sex
93030::Theta Car
92825::41 LMi
93845::Delta2 Cha
93152::42 LMi
93257::51 Leo
93702::53 Leo
93813::Nu Hya
93903::41 Sex
94264::46 LMi
94890::Iota Ant
96124::Eta Oct
95128::47 UMa
95272:Alkes:Alpha Crt
95345::58 Leo
95418:Merak:Beta UMa
95689:Dubhe:Alpha UMa
96097::Chi Leo
96202::Chi1 Hya
96436::65 Leo
96833::Psi UMa
97277::Beta Crt
97603:Zosma:Delta Leo
97633:Chertan:Theta Leo
98058::Phi Leo
98262:Alula Borealis:Nu UMa
98353::55 UMa
98430::Delta Crt
98718::Pi Cen
98664::Sigma Leo
99211::Gamma Crt
99491::83 Leo
99648::Tau Leo
99984::58 UMa
100029:Giausar:Lambda Dra
100407::Xi Hya
100841::Lambda Cen
100889::Theta Crt
100920::Upsilon Leo
101132::Pi Cha
101431::Omicron Hya
101501::61 UMa
101673::3 Dra
102070::Zeta Crt
102249::Lambda Mus
102212::Nu Vir
102224::Chi UMa
102509::93 Leo
102647:Denebola:Beta Leo
102870:Zavijava:Beta Vir
103095:Groombridge 1830:
103287:Phecda:Gamma UMa
103578::95 Leo
103632::Eta Crt
104321::Pi Vir
104979::Omicron Vir
105435::Delta Cen
105707::Epsilon Crv
105778::3 Com
106490::Delta Cru
106591:Megrez:Delta UMa
106625:Gienah:Gamma Crv
106690::2 CVn
106911::Beta Cha
107274::3 CVn
107259:Zaniah:Eta Vir
107328::16 Vir
107700::12 Com
108225::6 CVn
108248:Acrux:Alpha1 Cru
108483::Sigma Cen
108765::20 Com
108767:Algorab:Delta Crv
108844::74 UMa
108903:Gacrux:Gamma Cru
109026::Gamma Mus
109387::Kappa Dra
109358:Chara:Beta CVn
109379::Beta Crv
109485::23 Com
109511::24 Com
109704::25 Vir
109668::Alpha Mus
110014::Chi Vir
110462::76 UMa
110411::Rho Vir
110914:Y CVn:
110951::32 Vir
111123::Beta Cru
111239::35 Vir
111812::31 Com
111862::32 Com
112185:Alioth:Epsilon UMa
112142::Psi Vir
111482::Iota Oct
112429::8 Dra
112300::Delta Vir
112413:Cor Caroli:Alpha2 CVn
112846::44 Vir
113226:Vindemiatrix:Epsilon Vir
112985::Delta Mus
113797::14 CVn
113848::39 Com
113791::Xi2 Cen
114330::Theta Vir
114447::17 CVn
114710::Beta Com
114911::Eta Mus
115604::20 CVn
115521::Sigma Vir
115617::61 Vir
115659::Gamma Hya
116010::23 CVn
115892::Iota Cen
116656:Mizar:Zeta UMa
116658:Spica:Alpha Vir
116870::68 Vir
117176::70 Vir
118022::78 Vir
118098::Zeta Vir
118219::80 Vir
118716::Epsilon Cen
117374::Kappa Oct
119149::82 Vir
119605::83 Vir
119756::1 Cen
120064::3 Boo
120136::Tau Boo
120315:Alkaid:Eta UMa
120324::Mu Cen
120452::89 Vir
121130::10 Dra
121370:Muphrid:Eta Boo
121263::Zeta Cen
121847::47 Hya
122066::48 Hya
122405::11 Boo
122408::Tau Vir
122451::Beta Cen
123299:Thuban:Alpha Dra
122250::Theta Aps
123123::Pi Hya
123139:Menkent:Theta Cen
124547::4 UMi
123999::12 Boo
124294::Kappa Vir
124897:Arcturus:Alpha Boo
124850:Syrma:Iota Vir
125161::Iota Boo
125162::Lambda Boo
125248:Cs virgo:
125337::Lambda Vir
125451::18 Boo
125473::Psi Cen
126035::2 Lib
126660::Theta Boo
126341::Tau1 Lup
126661::22 Boo
127700::5 UMi
126769::52 Hya
126868::Phi Vir
127665::Rho Boo
127762:Seginus:Gamma Boo
128167::Sigma Boo
127972::Eta Cen
129002::33 Boo
128620:Rigel Kentaurus A:Alpha Cen A
128621:Rigel Kentaurus B:Alpha Cen B
129336::32 Boo
129056::Alpha Lup
19771::Alpha Cir
129502::Mu Vir
129712:W bootes:34 Boo
130109::109 Vir
130259::56 Hya
129078::Alpha Aps
130819::Alpha1 Lib
131873:Kochab:Beta UMi
130841:Zubenelgenubi:Alpha Lib
131918::Xi2 Lib
131977:33 g Lib:
132813:Rr UMi:
132058::Beta Lup
132200::Kappa Cen
132742::Delta Lib
133208:Nekkar:Beta Boo
133216::Sigma Lib
133582::Psi Boo
133962::47 Boo
134083::45 Boo
134481::Kappa Lup
134759::Iota Lib
134505::Zeta Lup
135153::1 Lup
135482::3 Ser
135722::Delta Boo
135742:Zubeneschamali:Beta Lib
135379::Beta Cir
135382::Gamma TrA
137422:Pherkad:Gamma UMi
136298::Delta Lup
136422::Phi1 Lup
136664::Phi2 Lup
137006::8 Ser
137391:Alkalurops:Mu1 Boo
137759:Edasich:Iota Dra
137471::Tau1 Ser
137909:Nusakan:Beta CrB
137744::32 Lib
138481::Nu1 Boo
137387::Kappa1 Aps
138749::Theta CrB
138716::37 Lib
139006:Alphecca:Alpha CrB
138905::Gamma Lib
138538::Epsilon TrA
139063::Upsilon Lib
139641::Phi Boo
139997::Kappa Lib
137333::Rho Oct
142105::Zeta UMi
140573:Unukalhai:Alpha Ser
